judgement_id,tribunal,chamber,chamber_group,hearing_datetime,decision_datetime,created_datetime,publication_datetime,last_updatedtime,file_number,file_no_1,file_no_2,file_no_3,reported_number,reported_no_1,reported_no_2,reported_no_3,neutral_citation_number,ncn_year,ncn_code1,ncn_citation,ncn_code2,claimant,respondent,notes,is_published,subcategory_id,sec_subcategory_id,keywords,decision_type
458,,,,,4/22/1993,6/26/2002,6/26/2002,6/26/2002,,CA,481,1992,,A,1,94,,,,,,,,"Terminally ill claimant - child surviving for 18 months after date of claim - whether terminally ill for the purposes of section 35(2B) and (2C) of the Social Security Act 1975

Residence condition - child under six months old - whether residence condition can be satisfied by an unborn child

The claimant was born on 31 August 1990 and died in 1992. He was brain damaged at birth. On 15 October 1990 his mother claimed attendance allowance on his behalf and an award was made to take effect from 1 March 1991, the first pay day six months after his date of birth. On 28 January 1991, the claimants mother, supported by the claimants consultant, applied for review under the special rules relating to terminally ill people, introduced by section 35(2B) and 2(C) of the Social Security Act 1975, for him to be deemed to have satisfied the qualifying conditions since the date of his birth. The claimants consultant, however, when asked whether the claimant was terminally ill i.e. likely to die within six months, felt unable to answer the question because the claimant had in fact survived until 15 January 1992, the date of his reply. The delegated medical practitioner held that the claimant was unable to satisfy the conditions of section 35(2B). The claimants mother appealed to the Commissioner.

Held that:
1.	in considering the question of whether the claimant was terminally ill, the delegated medical practitioner should have directed his mind to the position as it was at the date of the application for review, not to the irrelevant consideration that, by the date of his determination, the claimant had lived for more than six months;
2.	in order to satisfy the requirement in regulation 2(1) of the Social Security (Attendance Allowance) (No. 2) Regulations 1975 that a person shall have been present in Great Britain for not less than 26 weeks in the twelve months prior to the commencement of an award of attendance allowance, the person in question must have an independent existence and cannot be an unborn child;
3.	the claimant was not entitled to receive attendance allowance until he had been present in Great Britain for 26 weeks, that is 26 weeks after his date of birth.

[Note:	Regulation 2(4) of the Social Security (Disability Living Allowance) Regulations 1991, which came into force on 6 April 1992, provides that a person who is terminally ill is not required to satisfy the condition that be has been present in Great Britain for 26 weeks in the 52 weeks prior to an award of disability living allowance.]",1,85,,,
459,,,,,6/11/1993,6/26/2002,6/26/2002,6/26/2002,,CA,516,1991,,A,2,94,,,,,,,,"Residence condition - claim by retired British national living in Spain - whether entitled to benefit by virtue of article 10 of Council Regulation (EEC) 1408/71

The claimant a retired British national who had lived in Spain since 1985, claimed attendance allowance on 3 September 1988. The adjudication officer decided that attendance allowance was not payable because the claimant was not present in Great Britain. This decision was confirmed by a social security appeal tribunal who also decided that EC legislation was not relevant because the claimant had retired from employment.

Held that:
1.	a retired person who had previously worked in a Member State remained within the scope of  Council Regulation (EEC) No. 1408/71 (para. 4);
2.	attendance allowance is an invalidity benefit for the purposes of Article 10 of Council Regulation (EEC) No. 1408/71 (para. 8);
3.	Article 10 of Council Regulation (EEC) No. 1408/71 applies to a situation where a person already has a benefit which is subsequently forfeited when that person goes to another Member State. It does not apply where there is no initial entitlement to benefit (para. 11).
Decisions R(A) 4/75 and R(S) 9/81 affirmed.",1,119,,,
460,,,,,1/24/1994,6/26/2002,6/26/2002,6/26/2002,,CA,303,1992,,A,1,95,,,,,,,,"Recovery of overpayment - claimant suffering from mental illness - whether mental state relevant to failure to disclose a material fact

The claimant was in receipt of attendance allowance in respect of his son. An overpayment occurred because the claimant failed to report that his son had been taken into local authority care. The adjudication officer decided that this was recoverable. The claimant appealed to a social security appeal tribunal, arguing that, because of his distressed mental state at the time his son went into care, disclosure of the change could not reasonably have been expected. The tribunal dismissed the appeal (except for a re-calculation of the amount overpaid) and the claimant appealed to a social security Commissioner.

Held that:

1. 	the claimant's mental state is relevant to the issue of whether or not he ever knew the material fact (but that was not in dispute in this case) (para. 6);

2. 	the claimant's mental state is not relevant to the issue of whether the test laid down in R(SB) 21/82 applies i.e. whether the non-disclosure occurred in circumstances in which disclosure by the person concerned was reasonably to be expected. The test requires consideration of the question whether a reasonable person would have recognised that it was material to disclose the knowledge in question (para. 6).

The Commissioner dismissed the appeal.",1,229,,,
461,,,,,4/21/1994,6/26/2002,6/26/2002,6/26/2002,,CA,117,1991,,A,3,94,,,,,,Mallinson v. Secretary of State,,"Attention - blind person requiring guidance - whether attention .... in connection with his bodily functions

The claimant, who was blind, required assistance to bath and to cut up food. He was able to walk, but required guidance when walking out of doors in unfamiliar surroundings. A delegated medical practitioner acting on behalf of the Attendance Allowance Board found that the claimant did not satisfy either the day or night conditions for attendance allowance. There was no issue as to the night time conditions. On appeal the Commissioner (in decision on Commissioners file No. CA/117/1991) found that the DMP had not erred in law in that he had correctly considered the assistance required by the claimant when walking as supervision rather than attention  in connection with his bodily functions.

On 1 April 1993 the Court of Appeal (Ralph Gibson and Mann LJJ, Nolan LJ dissenting) affirmed the decision of the Commissioner.

On 21 April 1994 the House of Lords (Lord Templeman, Lord Browne-Wilkinson and Lord Woolf, Lord Mustill and Lord Lloyd dissenting) allowed an appeal by the claimant and

Held that:
1.	the guidance that a blind person requires when walking in unfamiliar surroundings constitutes attention and not supervision;
2.	attention is in connection with a bodily function if it provides a substitute method of providing what the bodily function would provide if it were not totally or partially impaired;
3.	the attention which the claimant received when walking was in connection with the bodily function of seeing.",1,96,98,,
462,,,,,1/24/1996,6/26/2002,6/26/2002,6/26/2002,,CA,233,1995,,A,1,95,,,,,,,,"Supervision - claimant falling occasionally - whether requirement for supervision if there is no propensity to fall

The claimant claimed attendance allowance on 7 October 1993 when she was aged 85. She suffered from arthritis of the hips and legs with leg ulcers. A tribunal found that she fell occasionally but could get up slowly.  They decided that she did not need continual supervision in order to avoid substantial danger to herself or others and upheld the adjudication officers decision that she was not entitled to attendance allowance. The claimant appealed to a Commissioner on the ground that the tribunal should have considered whether she might not require continual supervision by reason of her falls. The adjudication officer supported the appeal.

Held that:

not every person who falls needs continual supervision to avoid danger to himself or others.  It is only if the person has a propensity to fall by reason of his or her condition, so that this situation has to be catered for, that the possible need for continual supervision has to be considered.

The Commissioner dismissed the appeal as the tribunal had not erred in law.",1,98,,,
463,,,,,4/27/1994,6/26/2002,6/26/2002,6/26/2002,,CA,608,1990,,A,4,94,,,,,,Miller v. Chief Adjudication Officer,,"Watching over - couple both with disabilities - whether requirements arising from claimants need to watch over another to whom attendance allowance is payable are relevant

The claimant was severely disabled and in receipt of the lower rate of attendance allowance, as she satisfied the day-time supervision provisions of section 35(1) of the Social Security Act 1975 as amended. Her husband was also severely disabled and had been awarded the higher rate of attendance allowance under that section. 

The claimant applied for the higher rate for herself, claiming that she required watching over at night because she had a tendency to fall when she had to get up to attend to her husband. Her application for review resulted only in an award of the lower rate for life because the delegated medical practitioner decided that only one of the day conditions and neither of the night conditions under section 35(1) was satisfied. Her appeal to a Commissioner was dismissed. The claimant appealed to the Court of Appeal.

Held, dismissing the appeal, that:
1.	section 35(1) was concerned with the needs of the claimant, not those of her husband who already received the higher rate of attendance allowance for his night time needs;
2.	the night attendance on the husband who was himself disabled did not permit a further claim for attendance allowance by the claimant, which would result in a double recovery for the needs of the husband, or an aggregation of his needs with those of the claimant;
3.	it was unnecessary to decide whether the position would be different if the claimant had to care at night for her child, who was not in receipt of attendance allowance;
4.	the reasons given by the delegated medical practitioner for his decision were adequate; (per Peter Gibson and Waite LJJ) the reasons were not to be judged by the standards expected of a judge or lawyer; (per Staughton LJ) there was no obligation on decision makers to refer to every point made to them or to every piece of evidence that had been brought to their attention, although it might be wise to do so.",1,99,282,,
464,,,,,10/17/1995,6/26/2002,6/26/2002,6/26/2002,,CA,215,1992,,A,2,96,,,,,,Chief Adjudication Officer v Kenyon,,"Applicable amount - residential accommodation not paid for wholly or partly out of public or local funds or arranged by local authority - whether accommodation provided pursuant to a Scheduled enactment

This appeal was the lead case of six cases on essentially the same facts and raising the same issues of law.  The claimants resided in accommodation at premises in Lancaster owned by the Lancaster Health Authority.  In terms of regulation  4(1)(c) of the Social Security (Attendance Allowance) (No. 2) Regulations 1975, a payment of attendance allowance could not be made to a claimant the cost of whose accommodation may be borne wholly or partly out of public or local funds in pursuance of an enactment contained in the Schedule to the regulations.  There could have been relief from the prohibition if so directed by the Secretary of State under regulation 4(3)(b).  However, the Secretary of State had issued a certificate declining to disapply regulation 4(1)(c).  The adjudication officer had refused to make an award of attendance allowance (or had terminated existing awards on review).  The social security appeal tribunal reversed the adjudication officers decisions and ordered, or reinstated, payment.  The adjudication officer appealed to the Commissioner who upheld the decisions of the tribunal.  The adjudication officer then appealed to the Court of Appeal.  Before the Court of Appeal, it was common ground between the parties that (i) the local social services authority had the Secretary of States advance approval for the making of arrangements for the provision of residential accommodation for the care of persons like the claimant suffering from illness; and (ii) had such arrangements been made, the local authority could have borne all or part of the cost of such accommodation but that the claimants accommodation had not been provided under any such arrangement.

Held, dismissing the appeal, that:

1.	before considering whether or not the cost of the accommodation may be borne out of public funds for the purposes of regulations 4(1)(b) and 4(1)(c), it was necessary to consider the circumstances in which that accommodation was provided.  The possibility of expending public money on accommodation could not sensibly be said to arise in all circumstances as this would deprive the opening words of regulations 4(1)(b) and 4(1)(c) of all meaning and negate the object of introducing attendance allowance;

2.	regulation 4(1)(c) applied where the local authority had power to pay some or all of the cost of accommodation provided by a third party.  It did not have such power unless and until it made arrangements for the provision of the accommodation or, once the accommodation had been provided, for its cost.  Since that had not happened, regulation 4(1)(c) did not apply;

3.	it followed that Jones v. The Insurance Officer [R(A) 3/83] was narrower in scope than had been considered previously.",1,79,,,
465,,,,,7/24/1996,6/26/2002,6/26/2002,6/26/2002,,CA,60,1993,,A,3,96,,,,,,Chief Adjudication Officer and another v Steane and another,,"Applicable amount - accommodation in private residential care home paid for wholly by resident not provided with accommodation through illness - whether accommodation which is or may be provided under a Scheduled enactment

The claimant, who was aged 79, diabetic and had mobility problems, lived in residential accommodation originally owned and managed by the local authority but which was transferred to a registered charity during her stay. She paid the fees in full and had always done so. She claimed attendance allowance through an appointee and her claim was refused on the ground that although she was eligible, the allowance was not payable for any day of residence in scheduled accommodation under regulation 4 of the Social Security (Attendance Allowance) Amendment (No. 3) Regulations 1983. So far as is material, such accommodation consisted of accommodation provided in pursuance of Part III of the National Assistance Act 1948, paragraph 2 of Schedule 8 to the National Health Service Act 1977, and accommodation provided in circumstances where the cost of the accommodation is or may be borne wholly or partly out of public funds in pursuance of those enactments. The claimant appealed to a social security appeal tribunal which allowed the appeal. The adjudication officer appealed and the Commissioner refused the appeal on the main issues. The Chief Adjudication Officer and Secretary of State appealed to the Court of Appeal, which refused their appeal, and then to the House of Lords.

Held, unanimously dismissing the appeal, that:

1.	it is an essential feature of arrangements under section 26 of the National Assistance Act 1948 that the arrangements must provide for the making by the local authority to the [other party to the arrangements] of payments in respect of the accommodation provided at such rates as may be determined by or under the arrangements and as there was no such provision in the arrangements for the claimant who paid the charges herself, her accommodation was not provided under Part III of the National Assistance Act 1948;

2.	as she was in accommodation for which she was paying she was not a person in need of care and attention otherwise unavailable to her pursuant to section 21(1)(a) of the National Assistance Act 1948 and the local authority was not empowered to provide accommodation under that enactment;

3.	there was no evidence that the claimant needed, or had been provided with, accommodation because of illness: she had been provided with accommodation because of her age and accordingly paragraph 2 of Schedule 8 to the National Health Service Act 1977 was not applicable, and the local authority was not providing and had no power to provide the accommodation under that enactment;

4.	regulation 7 of the Social Security (Attendance Allowance) Regulations 1991 replaced regulation 4 of the 1983 Regulations with effect from 6 April 1992 and provides that if a person himself pays the whole cost, and has always paid the whole cost of the accommodation, attendance allowance is payable notwithstanding that the circumstances of that person are such that the cost of the accommodation may be borne wholly or partly out of public funds in pursuance of a Scheduled enactment. The whole cost is to be read as meaning the payment of the charge fixed for residents in respect of their individual accommodation. The whole cost was met by the claimant even though the local authority provided general grant assistance to the charity.",1,79,,,
466,,,,,12/14/1994,6/26/2002,6/26/2002,6/26/2002,,CCR,1,1993,,CR,1,95,,,,,,Hassall and Pether v Secretary of State for Social Security,,"Benefits in payment prior to accident suffered by claimant - whether relevant that same amount of benefit would have been paid if accident had not occurred - whether relevant that benefit would have been paid on different basis if accident had not occurred - whether recovery limited to element of income support personal to claimant

In each case the claimant was paid the balance of damages by the compensator after deduction of benefit in favour of the Secretary of State in accordance with a certificate of total benefit paid to the claimant. The claimant appealed the decision of a social security appeal tribunal to the Commissioner who substituted a decision that because the basis of payment of income support had changed, the totality of the benefit paid to the claimant, being or including income support, was paid in consequence of the accident and was therefore recoverable by the Secretary of State. The claimant appealed to the Court of Appeal on the grounds that (i) the same amount of benefit would have been paid had the accident not happened so it was not paid as a consequence of the accident, (ii) income support would have continued as the claimant was still unemployed, and (iii) that in any event recovery of income support was limited to that part of the applicable amount relating to the claimant himself.

Held, dismissing the appeal, that:

1.	as to argument (i), benefit paid after the accident was founded on medical certificates dealing with injuries caused by the accident and was therefore paid as a direct consequence of the accident;

2.	as to argument (ii), there are no specific words or other reasons to limit recovery of income support as suggested by the claimant;

3.	as to argument (iii), the unfairness to the claimants in these cases does not stem from the operation of the legislation for recovery of benefit from compensation payments but from the failure to claim damages in respect of the benefit recoverable by the Secretary of State.",1,72,,,
467,,,,,7/13/1995,6/26/2002,6/26/2002,6/26/2002,,CCR,2,1994,,CR,1,96,,,,,,,,"Causation - disabled claimant capable of work but paid benefit on the basis that she was not capable of work - whether benefit paid in consequence of relevant accident

On 4 March 1989 the victim was injured in a road accident. On 12 June 1992 she accepted an offer of £5,500 in settlement of her compensation claim. A certificate of total benefit was issued on 8 July 1992, showing benefit to be recoverable under section 82(1) of the Social Security Administration Act 1992 up to 28 August 1992 (the date when the certificate expired). The victim had been in receipt of income support throughout the period 4 March 1989 to 28 August 1992 but from 25 July 1991 this was on the basis of her availability for work, rather than her incapacity for work.

The compensator appealed against the certificate of total benefit. The Secretary of State considered that the appeal raised a medical question and so referred the matter to a medical appeal tribunal for determination. The medical appeal tribunal stated that the victim was still suffering from the effects of the accident but considered that the evidence showed that she was fit for light work by 1 January 1991. The Secretary of State then referred the case to a social security appeal tribunal for determination of the compensators appeal. The social security appeal tribunal decided that the victim was not incapable of work after 1 January 1991 and was not receiving benefit as a result of her injuries after that date. They therefore allowed the compensators appeal, deciding that benefit was only repayable up to 1 January 1991. The Secretary of State appealed to the Commissioner.

Held that:

1.	the appeal was clearly concerned with the period specified in the certificate of total benefit on the basis that benefit paid otherwise than in consequence of the accident had been brought into account. It thus fell to be determined solely by a social security appeal tribunal under section 98(7) of the Social Security Administration Act 1992, since no medical question as defined in section 98(12) arose;

2.	the social security appeal tribunal had considered the wrong question. The issue was not the victims capacity for work but whether benefit had been paid in consequence of the accident. Since the sole cause of the victims incapacity for work was the injuries she sustained in the accident and that incapacity had been accepted by the Department and income support paid on that basis up to 24 July 1991, it followed that benefit had been paid in consequence of the accident up to that date but not thereafter;

3.	the Commissioner therefore allowed the Secretary of States appeal in part and substituted her own decision that benefit paid from 25 July 1991 should not have been brought into account.",1,72,,,
468,,,,,5/15/1995,6/26/2002,6/26/2002,6/26/2002,,CCS,9,1994,,CS,1,95,,,,,,,,"Tribunal practice - appellant not attending a hearing before a child support appeal tribunal - whether attendance obligatory

The appellant has appealed to a child support appeal tribunal against a child support officers refusal to review the amount of his child support maintenance.  He stated that he would not be attending the hearing but that he wished the tribunal to consider further evidence (which he sent in an accompanying letter).  The tribunal dismissed his appeal on the ground that he had not attended the hearing.

Held  that:

the attendance of the appellant is not a prerequisite for the determination of an appeal by a child support appeal tribunal.  This is implicit in the Child Support Appeal Tribunals (Procedure) Regulations 1992 (see for example, regulation 11(3) and (6)).",1,48,285,,
469,,,,,3/30/1995,6/26/2002,6/26/2002,8/30/2002,,CCS,2,1994,,CS,2,95,,,,,,,,"Child support scheme - whether compatible with Article 119 of the European Community Treaty - whether regulations ultra vires

The absent parent, the father, appealed against a child support officer's decision that he was liable to pay child support of £71.96 per week for his two children, aged 17 and 13 years, from 7 August 1993. A child support appeal tribunal allowed the appeal but only to the extent that the father's protected income was to be re-calculated as from 16 September 1993 when he separated from his second wife. 
The father appealed to a child support Commissioner. That appeal raised major issues relating to the validity of the Child Support Act 1991 and the regulations made under that Act and was heard by a tribunal of Commissioners.

Held that:

1.	child support maintenance was not ""pay"" and so the obligation to pay child support was not covered by Article 119 of the European Economic Community Treaty and Council Directive 75/117/EEC (para. 6);

2.	child support Commissioners have jurisdiction to decide whether any child support regulation is ultra vires (Chief Adjudication Officer v. Foster [1993] AC 754 applied) and that includes the power to determine whether or not a regulation is irrational (CIS/391/1992 applied);

3.	applying the test in Council of Civil Service Unions v. Minister for the Civil Service [1985] AC 374 per Lord Diplock at 410, the various regulations made under the child support Act 1991 that had been applied in this case were not invalid on the ground of ""irrationality"" (paras. 8 and 9);

4.	the regulations were also not invalid by reason of incompatibility with section 2 of the Child Support Act 1991. Section 2 was confined to the exercise by the Secretary of State or a child support officer of discretionary powers in individual cases. It did not apply to the Secretary of State's regulation-making powers under the Act (paras. 10 to 12);

5.	the appeal was dismissed as the child support appeal tribunal's decision was not wrong in law.

Tribunal of Commissioners decision",1,49,60,,
470,,,,,10/19/1995,6/26/2002,6/26/2002,6/26/2002,,CCS,100,1995,,CS,1,96,,,,,,,,"Tribunal jurisdiction - question whether there was a written maintenance agreement in force - whether a question within the jurisdiction of a child support appeal tribunal

A child support appeal tribunal decided that there was a written maintenance agreement between the parties in existence before 5 April 1993. The consequence was that the Child Support Agency had no jurisdiction by virtue of paragraph 2(a) of the Child Support Act 1991 (Commencement No. 3 and Transitional Provisions) Order 1992. The parent with care appealed to a child support Commissioner. It was contended on behalf of the child support officer and the Secretary of State that whether or not there was a maintenance agreement in existence was a matter for the sole determination of the Secretary of State, not for the child support officer, and that once the Secretary of State was satisfied that there was an effective application within the meaning of regulation 2 of the Child Support (Maintenance Assessment Procedure) Regulations 1992 the validity of such an application could no longer be questioned.

Held that:

an effective application within the meaning of regulation 2 of the Maintenance Assessment Procedure Regulations 1992 was no more than an application in the proper form. An application could not be referred to a child support officer until it was effective, but it was not incumbent on the Secretary of State to investigate the accuracy of the facts on the application form. Under section 11(1) of the Child Support Act 1991 a child support officer was required to deal with a maintenance assessment application in accordance with the provisions made by or under this Act. These words were wide enough to enable the child support officer not merely to make an assessment, but also to satisfy himself that the application had been properly made.",1,31,283,,
471,,,,,12/6/1995,6/26/2002,6/26/2002,6/26/2002,,CCS,4,1994,,CS,2,96,,,,,,,,"Maintenance assessment - parent serving in the Armed Forces - whether married quarters his principal home - whether gross earnings means earnings after deduction of expenses

The parent with care, who was in receipt of income support, applied for a maintenance assessment in respect of her three children on 5 April 1993. The absent parent was a sergeant in the Army. He lived in married quarters but also owned a house which he was buying on a mortgage. He spent leave periods and long weekends in this house. The child support officers maintenance assessment made on 24 August 1993 allowed an amount for housing costs based on the rent for the married quarters. The absent parent contended that his eligible housing costs should be based on his mortgage payments on the ground that this was his principal home for the purposes of regulation 1(2) of the Child Support (Maintenance Assessments and Special Cases) Regulations 1992. He also argued that payments for regimental subscriptions and dress uniform, mess fees and the expenses of the married quarters were wholly, exclusively and necessarily incurred in the performance of the duties of his employment and so should be deducted from his earnings. The tribunal allowed the appeal to the extent that they accepted that the house was the absent parents principal home and that payments for regimental subscriptions, mess fees and dress uniform should be deducted from his earnings. The absent parent appealed to the Commissioner.

Held that: 

1.	the issue of what was a persons principal home was one of fact for the adjudicating authority. The test was an objective one, directed not just at the number of nights spent in the home, but also at ascertaining what was normal at the date at which the housing costs were calculated (para. 12). The tribunal had not erred in law on this question;

2.	paragraph 1(2) of Schedule 1 to the Maintenance Assessments and Special Cases Regulations 1992 (sums not counted as earnings) only applied to payments made to, not by, an employee (para. 15). The tribunal erred in law in relying on paragraph 1(2) of Schedule 1;

3.	gross earnings in paragraph 1(3) of Schedule 1 to the 1992 Regulations meant earnings after deduction of expenses wholly, exclusively and necessarily incurred in the performance of the duties of the employment (see Parsons v. Hogg, R(FC) 1/90 and R(IS) 16/93) (paras. 20 to 25);

4.	the tribunal had been entitled to conclude on the evidence that the regimental subscriptions, mess fees and dress uniform were incurred in the performance of the absent parents employment. However, the expenses of the married quarters were not so incurred (Smith v. Abbott [1944] 1All ER 673 applied).

The Commissioner allowed the appeal and substituted his own decision.",1,32,49,,
472,,,,,12/21/1994,6/26/2002,6/26/2002,6/26/2002,,CSCS,1,1994,,CS,3,96,,,,,,,,"Child support scheme - whether compatible with Council Directive 79/7/EEC

Maintenance assessment - endowment mortgage - whether property and contents insurance premiums are housing costs

The absent parent applied for a review under s. 18(6) of the Child Support Act 1991 of the maintenance assessment against him but the child support officer refused to conduct a review. His appeal to a child support appeal tribunal was disallowed and he then appealed to a child support Commissioner.

Held that:

1.	in child support cases any appeal to a tribunal is against the decision made on a review application. It is thus for the tribunal to consider whether or not there are reasonable grounds for entertaining the review application and, if so, whether they show that the original decision should be revised (para. 12);

2.	the tribunal had erred in law in not concluding that there were at least grounds for review. This was because of the uncertainties created by the wording of paragraphs l(g) and 3(6) of Schedule 3 to the Child Support (Maintenance Assessment and Special Cases) Regulations 1992 (paras. 12 and 24); 

3.	however, despite the apparently wide wording of paragraph l(g), it was to be interpreted respectively, so as to exclude all buildings insurance premiums (para. 23). Contents insurance premiums were also excluded (para. 22);

4.	there was no basis for holding that the operation of the Child Support Act 1991 was in breach of Article 8 of the European Convention on Human Rights (para. 17); it was also clear that Council Directive 79/7/EEC had no application to this legislation (para. 19);

The appeal was allowed and the Commissioner substituted his own decision to the effect that there were grounds for review of the child support officers decision but that that decision did not fall to be revised.",1,43,117,,
473,,,,,5/15/1995,6/26/2002,6/26/2002,6/26/2002,,CCS,11,1994,,CS,4,96,,,,,,,,"Maintenance assessment - whether welfare of the child to be taken into account
Tribunal jurisdiction - question whether there was a court order in force - whether a question within the jurisdiction of a child support appeal tribunal

On 19 April 1993 the parent with care applied to the Secretary of State for a maintenance assessment in respect of his two children under s. 4 of the Child Support Act 1991. The child support officer decided that the absent parent was liable to pay child support maintenance at the rate of £48.04 per week with effect from 19 April 1993. The absent parent applied for a review which was carried out by a second child support officer who decided that the absent parent should pay £49.17 per week with effect from 21 April 1993. The absent parent appealed to a child support appeal tribunal who allowed her appeal on the ground that the child support officer had failed to take account of her ground rent. The absent parent then appealed to the Commissioner, contending that the maintenance assessment did not take proper account of the welfare of the children; she also maintained that since there was a court maintenance order in existence at the date of the application for child support maintenance there had been no jurisdiction to make a maintenance assessment (see para. 2 of the Schedule to the Child Support Act 1991 (Commencement No. 3 and Transitional Provisions) Order 1992, SI 1992 No. 2644.

Held that:

1.	section 2 of the Child Support Act 1991 only applies to the exercise of any discretionary powers conferred on the Secretary of State or a child support officer by the Act. Thus it has no application to the making of a maintenance assessment under section 11, which is not a matter of discretion but an absolute duty (para. 7);

2.	even in relation to discretionary matters, section 2 only requires the Secretary of State or a child support officer to have regard to the welfare of any child likely to be affected by his decision. Thus it is merely something to be taken into account but should not undermine the overall purpose of the Child Support Act, that is, to ensure that the absent parent makes proper financial provision for his or her children (para. 8);

3.	although the maintenance order had not been rescinded, it was without effect as the parent against whom the order had been made was now the parent with care. The order was therefore not in force within the meaning of paragraph 2 of the Schedule to the 1992 Order and the tribunal had jurisdiction to entertain the application for child support maintenance (para. 13).
The appeal was allowed, but the Commissioner substituted his own decision which was to the same effect.",1,43,283,,
474,,,,,2/9/1996,6/26/2002,6/26/2002,6/26/2002,,CCS,7395,1995,,CS,5,96,,,,,,,,"Jurisdiction - civil servant posted abroad - whether habitually resident in the United Kingdom

The absent parent contented that the child support officer has no jurisdiction to make a child support maintenance assessment because he was not habitually resident in the United Kingdom. At the time of the application for a maintenance assessment the absent parent had worked for the Home Office for some 20 years. In August 1992 he was posted to India, initially for 18 months, but this was subsequently extended to 1997, with the possibility of a further extension for another year. The absent parent had been born in the United Kingdom and until August 1992 he had been resident here. He owned property in the United Kingdom. The child support appeal tribunal allowed the absent parents appeal, deciding that he was not habitually resident in the United Kingdom, and directed that the maintenance assessment should be cancelled. The parent with care appealed to the Commissioner.

Held that:
1.	to be resident in a country a person had to be seen as making a home there (CIS/1067/1995 applied). Clearly the absent parent was resident in India at the time in question. However, the issue was the meaning of habitually resident in the context of the child support scheme (paras. 6 and 9);

2.	the purpose underlying the child support legislation was the social need to require absent parents to maintain, or contribute to the maintenance of, their children. In deciding as a question of fact whether the absent parent had ceased to be habitually resident in the United Kingdom, the important factors were the nature and degree of his past and continuing connection with the United Kingdom and his intentions as to the future, although the reason for his move abroad and the nature of any work there were also material. It was not enough merely to look at the length and continuity of his actual residence abroad (para. 9);

3.	the absent parent has not gone abroad to reside there indefinitely but would in due course return to this country. He was pursuing a career with the Home Office which linked him to this country and to residence here. He was paid as a civil servant here and his earnings were subject to United Kingdom tax. Thus although his posting abroad was for a substantial period of time he remained habitually resident in the United Kingdom (paras. 11 and 12).

The Commissioner set aside the tribunals decision and remitted the appeal for rehearing by a differently constituted tribunal.",1,42,240,,
475,,,,,5/13/1994,6/26/2002,6/26/2002,6/26/2002,,CDLA,21,1994,,DLA,1,95,,,,,,,,"Tribunal practice - claim for mobility component of disability living allowance - whether tribunal obliged to consider entitlement to the care component - whether tribunal entitled to rely on ocular observation

An adjudication officer refused to award disability living allowance following a claim for the mobility component. That decision was not revised on review, and the claimant appealed to a disability appeal tribunal. At the hearing the claimant gave evidence relevant to the care component of disability living allowance, and the hearing was adjourned for further medical evidence. At the adjourned hearing only the mobility component was considered; and the tribunal based their decision, at least in part, on their observation of the claimant at the hearing. The claimant appealed to the Commissioner.

Held that;

1.	even though the care component was not claimed initially, care needs were brought to the attention of the disability appeal tribunal and it was necessary under section 71 of the Social Security Contribution and Benefits Act 1992 to make a decision in respect of both components;

2.	the tribunals ocular observation of the claimant did not amount to a walking test or medical examination. A tribunal are entitled to take into account such observations, provided that the weight to be attributed to them is carefully considered.",1,92,285,,
476,,,,,11/11/1994,6/27/2002,6/27/2002,6/27/2002,,CDLA,85,1994,,DLA,2,95,,,,,,,,"Care component - inability to prepare a cooked main meal - whether an objective test of an ability to prepare a labour intensive main daily meal

The claimant was in receipt of the mobility component of disability living allowance when she claimed the care component. That was refused by an adjudication officer, whose decision was not revised on review. The claimant appealed to a disability appeal tribunal essentially on the basis that she was unable to prepare a cooked main meal for herself and thereby satisfied the condition for the lowest rate of care component. There was medical evidence of a disabling condition before the tribunal, and evidence from the claimant relative to her ability to stand and to lift heavy pans. The tribunal dismissed the appeal and the claimant appealed to the Commissioner.

Held that:

1.	the cooking test is a hypothetical test to be determined objectively, relates to a labour intensive main daily meal which it is reasonable for the claimant to prepare for one person on a daily basis, and depends on what the claimant cannot do without help. The test includes all activities auxiliary to the cooking;

2.	whether the claimant is so severely disabled physically or mentally that she cannot prepare such a meal is a subjective test to be determined on the evidence. If there is evidence of limited ability, reasons must be given to explain why the relevant activities were not necessary in the preparation of a main meal.

The appeal was allowed. The Commissioner remitted the case to another tribunal for rehearing.",1,97,,,
